subject,sender,recipient,body,has_links,labels
Verify your account immediately,security@paypal-alert.com,you@example.com,We detected unauthorized access. Click here to login and confirm your identity or your account will be suspended. OTP required.,True,INBOX
Urgent: reset your password now,noreply@bank-secure.net,you@example.com,Your bank verification failed. Please update your details and reset your password within 24 hours. Limited slots available.,True,INBOX
Security alert - OTP required,alert@secure-login.co,you@example.com,Unauthorized access detected on your account. Verify your account and enter the OTP to continue.,True,INBOX
Limited time offer - 70% off,deals@shopnow.biz,you@example.com,Exclusive deal just for you! Buy now before sale ends soon. Unsubscribe anytime. Free trial available.,True,INBOX
Congratulations you have been selected,winner@prizehub.com,you@example.com,You have been selected to win a free iPhone. Click here to claim. Earn money from home. Apply now!,True,SPAM
Work from home and earn money,jobs@easyincome.info,you@example.com,Limited slots available. Work from home and earn money fast. Discount for early applicants. Unsubscribe link below.,True,SPAM
Meeting tomorrow at 10 AM,manager@company.com,you@example.com,Hi team reminder about our project update meeting tomorrow. Please review the presentation before the discussion.,False,INBOX
Assignment submission deadline,professor@university.edu,you@example.com,The assignment submission deadline is Friday. Please complete your project review and schedule a discussion if needed.,False,IMPORTANT
Interview scheduled for Monday,hr@techcorp.com,you@example.com,Your interview is scheduled for Monday at 2 PM. Action required: confirm your availability for the client presentation.,False,INBOX
Exam timetable released,exams@sitpune.edu.in,students@sitpune.edu.in,Dear students the examination schedule and timetable for this semester are attached. Lab attendance is mandatory.,False,INBOX
UPI payment credited Rs. 2500,alerts@hdfcbank.com,you@example.com,INR 2500 has been credited to your account via UPI. Transaction successful. Available balance updated.,False,INBOX
Debit alert - NEFT transfer,alerts@icicibank.com,you@example.com,Rs. 1200 debited from your account via NEFT. Payment to merchant completed. Amount withdrawn successfully.,False,INBOX
Your Amazon order shipped,shipment@amazon.com,you@example.com,Your order has been shipped and will arrive soon. Track your package using the link in this email.,True,INBOX
Weekly newsletter - tech digest,news@techdaily.com,you@example.com,Here is your weekly roundup of technology news. Read more articles on our website. Unsubscribe if not interested.,True,INBOX
Password expiry notice,it@company.com,you@example.com,Your company password will expire in 7 days. Please update your password from the employee portal when convenient.,False,INBOX
Client review call this week,pm@agency.com,you@example.com,Please join the client review and project update discussion on Thursday. Action required before the deadline.,False,IMPORTANT
Phishing test: confirm bank login,fraud@fake-bank.ru,you@example.com,Login to your account immediately to verify your account. Bank verification and OTP required or access will be locked.,True,INBOX
Flash sale ends tonight,promo@fashionmart.com,you@example.com,Limited time offer! Exclusive deal and discount on selected items. Buy now. Sale ends soon. Unsubscribe option included.,True,SPAM
Lecture notes for semester,faculty@symbiosis.ac.in,you@example.com,Lecture and lab schedule for the batch. Internal assessment and assignment submission details are included.,False,IMPORTANT
Account balance statement,noreply@sbi.co.in,you@example.com,Your account statement is ready. Balance and recent transaction details for deposit and payment activity.,False,INBOX
Verify identity to keep Netflix,billing@netflix-security.tk,you@example.com,Confirm your identity and update your details or your account will be suspended. Click here to login now.,True,INBOX
